ASSETS19,ASSORG19,BHC19,BHCFOR19,REAL1419,ORDER,OCC19,SEQINS,CERT19,SID,TAX_ID19,CODE19,LEI,STATER19,NAME19,PLACE19,CODE17,HMPRID,SYD,RSSD19,RSSDP19,RSSDHH19,ORG19,ENTITY19,THC19,CHARTR19,INSURE19,THRIFT19,NCUA19,STATE19,MINBNK19,COUNTY19,TYPE19,NAMEOR19,FOREOR19,NAMES19,FORE19,NAMER19,TAXIDR19,LEIR19,LAR19,CRA19,FHLB19,FHFBID19,PARENT19,OLC19,ASSETL19,PURC19,PURCD19,ORIG19,HIELG19,HIRAT19,ORIGM19,HIELGM19,HIRATM19,ORIGD19,ORIGDM19,APPL19,APPLD19,APPLM19,APPLDM19
1334086,24367,5045444, ,584171,4220,0,4220,18199, ,06-0472240,3,549300YFPHIE78XPP635,9,NEWTOWN SAVINGS BANK,NEWTOWN,3,0000018199, ,507509,5045435,5045444,5045444,507509,5045444,300,7,8506, ,9,0,1,20,NSB MUTUAL HOLDING COMPANY,BHC,NEWTOWN SVGS BK,SSB,NEWTOWN SVGS BK,06-0472240,549300YFPH1E78XPP635,1060,0,1,8506,"NSB HOLDINGS, INC.",0,1318237,0,0,806,782,12,94,94,3,244332,28757,1060,316428,127,36767
894697,894697,0, ,299475,4221,0,4221,18200, ,06-0322790,3,254900QY5ST0J7P6M123,9,DIME BANK,NORWICH,3,0000018200, ,311603,0,0,-311603,311603, ,300,7,8347, ,9,0,11,20,DIME BK,SSB,DIME BK,SSB,DIME BK, ,0,484,0,1,8347, ,0,854234,56,51438051,245,231,0,27,27,0,62672,7654,428,113642,60,14243
58343490,58579620,3650152, ,11289480,4223,25103,4223,27334, ,06-0523930,3,549300RA8FPV4K1HE018,9,UNITED BANK,HARTFORD,3,0000018203, ,633501,2509413,2509413,3650152,613307,3650152,200,7,18027, ,9,0,1,10,"PEOPLE'S UNITED FINANCIAL, INC",FHD,PEOPLES UNITED BK NA,NAT,HARTFORD CITYPLACE BR, , ,3813,0,1,6828,"UNITED FINANCIAL BANCORP, INC.",0,7347510,1176,265565884,1493,1423,58,177,177,8,262693,28417,2637,422486,367,54046
1755356,1755356,0, ,870410,4224,0,4224,18204, ,06-0547190,3,549300HQW3FSOL75WC88,9,FIRST COUNTY BANK,STAMFORD,3,0000018204, ,958204,0,0,-958204,958204, ,300,7,7711, ,9,0,1,20,FIRST COUNTY BK,SSB,FIRST COUNTY BK,SSB,FIRST COUNTY BK, ,0,511,0,1,7711, ,0,1674924,3,140372018,387,368,0,75,75,0,188603,30318,508,232259,112,44044
1563031,215755,3824373, ,332715,4228,0,4228,18213, ,06-0510330,3,U9WBLC3ZT2VBJSNY2Y81,9,FAIRFIELD COUNTY BANK,RIDGEFIELD,3,0000018213, ,882701,3824373,3824373,3824373,882701,3824373,300,7,6745, ,9,0,1,20,"FAIRFIELD COUNTY BANK, MHC",SLH,FAIRFIELD CTY BK,SSB,FAIRFIELD CTY BK, ,U9WBLC3ZT2VBJSNY2Y81,553,0,1,6745,"FAIRFIELD COUNTY BANK, MHC",0,1486214,0,0,388,363,0,58,58,0,192153,21316,553,273746,82,29451
169666,83945,2937100, ,71661,4233,0,4233,18223, ,06-0299530,3,2549007DF4VYT8BYAG08,9,COLLINSVILLE SAVINGS SOCIETY,COLLINSVILLE,3,0000018223, ,890603,3926745,2937100,2937100,890603,2937100,300,7,8573, ,9,0,3,20,CONNECTICUT MUTUAL HOLDING COM,BHC,COLLINSVILLE BK,SSB,COLLINSVILLE BK,06-0299530,0,69,0,1,8573,COLLINSVILLE STOCK HOLDING COM,0,163856,0,0,57,49,2,1,1,0,17350,116,69,19591,2,336
303757,303757,0, ,58311,4236,0,4236,18227, ,06-0546360,3,254900QHRM7S805P5E69,9,STAFFORD SAVINGS BANK,STAFFORD SPRINGS,3,0000018227, ,113003,0,0,-113003,113003, ,300,7,10564, ,9,0,13,20,STAFFORD SVG BK,SSB,STAFFORD SVG BK,SSB,STAFFORD SVG BK, ,0,75,0,1,10564, ,0,277570,0,0,65,65,0,3,3,0,10462,356,75,11911,3,356
417934,83945,2937100, ,193324,4237,0,4237,18229, ,06-0448680,3,254900W4EKVR6GZ0KS84,9,NORTHWEST COMMUNITY BANK,WINSTED,3,0000018229, ,545604,2937100,2937100,2937100,545604,2937100,300,7,7825, ,9,0,5,20,CONNECTICUT MUTUAL HOLDING COM,BHC,NORTHWEST CMNTY BK,SSB,NORTHWEST CMNTY BK,06-0448680,0,201,0,1,7825,CONNECTICUT MUTUAL HOLDING COM,0,409545,2,51617136,153,145,0,17,17,0,39475,5416,199,47700,21,6159
294988,294988,0, ,113316,4242,0,4242,18237, ,06-0405020,3,54930015NKWX0FSGV150,9,JEWETT CITY SAVINGS BANK,GRISWOLD,3,0000018237, ,820301,0,0,-820301,820301, ,300,7,8429, ,9,0,11,20,JEWETT CITY SVG BK,SSB,JEWETT CITY SVG BK,SSB,JEWETT CITY SVG BK, ,0,265,0,1,8429, ,0,283803,0,0,165,157,0,17,17,0,23503,2089,265,41380,25,3692
1142824,1142824,0, ,557126,4243,0,4243,18238, ,06-0376640,3,5493000GQWJTTR0TEH83,9,CHELSEA GROTON BANK,GROTON,3,0000018238, ,345309,0,0,-345309,345309, ,300,7,8593, ,9,0,11,20,CHELSEA GROTON BK,SSB,CHELSEA GROTON BK,SSB,CHELSEA GROTON BK, ,0,936,0,1,8593, ,0,1116897,0,0,562,545,1,58,58,0,116270,10074,936,199128,124,20818
1110732,1110732,0, ,306993,4253,0,4253,18258, ,06-0561730,3,549300JBZ3MK7Z4FI764,9,THOMASTON SAVINGS BANK,THOMASTON,3,0000018258, ,120609,0,0,-120609,120609, ,300,7,10783, ,9,0,5,20,THOMASTON SVG BK,SSB,THOMASTON SVG BK,SSB,THOMASTON SVG BK, ,0,600,0,1,10783, ,0,1045969,0,0,446,421,0,25,25,0,87098,4511,600,115834,38,6749
2234025,315157,1246935, ,258012,4258,0,4258,18266, ,04-2265819,3,549300EE39SNC5DXTC46,25,NORTHERN BANK & TRUST COMPANY,WOBURN,3,0000018266, ,900306,1246935,1246935,1246935,900306,1246935,200,7,0, ,25,0,17,10,"NORTHERN BANCORP, INC.",BHC,NORTHERN B&TC,NMB,NORTHERN B&TC,04-2265819,549300EE39SNC5DXTC46,1076,0,1,13346,"NORTHERN BANCORP, INC.",0,2162309,0,0,693,663,1,101,101,0,274061,35992,1076,439490,155,57307
6743520,6748913,1245068, ,784813,4266,0,4266,18297, ,75-1046251,3,549300BEM32ZRV7MJ178,48,SOUTHSIDE BANK,TYLER,3,0000018297, ,361167,1245068,1245068,1245068,361167,1245068,200,7,0, ,48,0,423,10,"SOUTHSIDE BANCSHARES, INC.",FHD,SOUTHSIDE BK,NMB,SOUTHSIDE BK,75-1046251,549300BEM32ZRV7MJ178,1316,0,9,11033,"SOUTHSIDE BANCSHARES, INC.",0,6117745,0,0,790,733,22,131,131,9,180957,25313,1316,297514,264,41126
1307762,1307762,0, ,245401,4282,0,4282,18355, ,75-1051036,3,FYRC3KHM4DQBX5PWG390,48,NORTH DALLAS BANK & TRUST CO.,DALLAS,3,0000018355, ,490450,0,0,-490450,490450, ,200,7,0, ,48,0,113,10,NORTH DALLAS B&TC,NMB,NORTH DALLAS B&TC,NMB,NORTH DALLAS B&TC, ,0,201,0,0,0, ,0,1303979,0,0,124,102,0,13,12,0,72351,5813,201,118371,33,15524
386378,37215,1126989, ,37556,4284,0,4284,18361, ,39-0978524,3,5493002B2O407LCTBX72,55,COULEE BANK,LA CROSSE,3,0000018361, ,457752,1126989,1126989,1126989,457752,1126989,200,7,0, ,55,0,63,10,"COULEE BANCSHARES, INC.",BHC,COULEE BK,NMB,COULEE BK,39-0978524,5493002B2O407LCTBX72,231,0,7,12544,"COULEE BANCSHARES, INC.",0,389173,0,0,189,180,0,26,26,0,35395,3931,231,42147,31,4638
1403584,204394,1823345, ,106143,4289,0,4289,18402, ,36-2463577,3,5493002L7I6EYKW3NG91,17,BLACKHAWK BANK & TRUST,MILAN,3,0000018402, ,890742,1823345,1823345,1823345,890742,1823345,200,7,11017, ,17,0,161,10,"BLACKHAWK BANCORPORATION, INC.",BHC,BLACKHAWK B&T,NMB,BLACKHAWK B&T,36-2463577,5493002L7I6EYKW3NG91,362,0,7,11017,"BLACKHAWK BANCORPORATION, INC.",0,1360168,0,0,260,193,0,18,18,0,61235,2654,362,73232,29,3687
4733474,4736738,3547999, ,1115844,4291,0,4291,18408, ,01-0024610,3,549300JEBULFT3BSU682,23,BANGOR SAVINGS BANK,BANGOR,3,0000018408, ,419406,3547999,3547999,3547999,419406,3547999,300,7,7107, ,23,0,19,20,"BANGOR BANCORP, MHC",BHC,BANGOR SVG BK,SSB,BANGOR SVG BK,01-0024610,549300JEBULFT3BSU682,6326,0,1,7107,"BANGOR BANCORP, MHC",0,4410311,156,163083580,4693,4551,195,206,206,4,859012,44271,6170,1117107,297,65523
4048788,4048788,2762795, ,377368,4295,0,4295,18429, ,37-0808298,3,549300SNZET0P5BZ3J56,17,MORTON COMMUNITY BANK,MORTON,3,0000018429, ,825146,2592714,2762795,2762795,825146,2592714,200,7,10842, ,17,0,179,10,HOMETOWN COMMUNITY BANCORP ESO,BHC,MORTON CMNTY BK,NMB,MORTON CMNTY BK,37-0808298,549300SNZET0P5BZ3J56,1389,0,7,10842,"HOMETOWN COMMUNITY BANCORP, IN",0,3756930,0,0,1126,1034,41,49,44,3,263581,8053,1389,296504,67,9931
2304484,230909,1245705, ,135135,4309,0,4309,18509, ,36-2481667,3,254900IRNXUOKGT5XK11,17,WEST SUBURBAN BANK,LOMBARD,3,0000018509, ,375034,1245705,1245705,1245705,375034,1245705,200,7,0, ,17,0,43,10,"WEST SUBURBAN BANCORP, INC.",BHC,WEST SUBURBAN BK,NMB,WEST SUBURBAN BK,36-2481667,0,156,0,7,14884,"WEST SUBURBAN BANCORP, INC.",0,2251005,0,0,96,89,0,26,26,0,12905,2419,156,20940,51,6934
230427,18823,1201813, ,22495,4319,0,4319,18566, ,36-2484148,3,549300WXIUJ8ZTV7X921,17,PEOPLES BANK OF KANKAKEE COUNT,BOURBONNAIS,3,0000018566, ,821036,1201813,1201813,1201813,821036,1201813,200,7,11022, ,17,0,91,10,"ROMY HAMMES, INC.",BHC,PEOPLES BK KANKAKEE CTY,NMB,PEOPLES BK KANKAKEE CTY,36-2484148,549300WXIUJ8ZTV7X921,228,0,7,11022,"ROMY HAMMES, INC.",0,201668,0,0,175,169,0,18,18,0,25433,2384,228,32603,23,3093
973957,104349,2321419, ,155125,4321,0,4321,18569, ,39-0987942,3,549300RBWA4J4QTPSY69,55,PEOPLES STATE BANK,WAUSAU,3,0000018569, ,340144,2321419,2321419,2321419,340144,2321419,200,7,0, ,55,0,73,10,"PSB HOLDINGS, INC.",BHC,PEOPLES ST BK,NMB,PEOPLES ST BK,39-0987942,549300RBWA4J4QTPSY69,867,0,7,14149,"PSB HOLDINGS, INC.",0,915938,0,0,617,562,2,28,28,1,142498,4665,867,192513,59,8680
408475,408475,0, ,45662,4325,0,4325,18592, ,73-0789371,3,549300X9F6RDCRU0HK78,40,FIRST BANK OF OWASSO,OWASSO,3,0000018592, ,637554,0,0,-637554,637554, ,200,7,0, ,40,0,143,10,FIRST BK OF OWASSO,NMB,FIRST BK OF OWASSO,NMB,FIRST BK OF OWASSO, ,0,105,0,10,16667, ,0,393619,0,0,95,31,0,6,6,0,13354,387,105,14391,6,387
981120,99546,1107193, ,120690,4328,0,4328,18609, ,75-1095067,3,5493006XE7ZLYUW25E11,48,AMERICAN BANK OF COMMERCE,WOLFFORTH,3,0000018609, ,215662,1107193,1107193,1107193,215662,1107193,200,7,0, ,48,0,303,10,"AMERICO BANCSHARES, INC.",BHC,AMERICAN BK CMRC,NMB,AMERICAN BK CMRC,75-1095067,5493006XE7ZLYUW25E11,74,0,9,17313,"AMERICO BANCSHARES, INC.",0,969592,0,0,53,38,0,1,1,0,15675,315,74,20222,5,593
294632,36086,2963556, ,15973,4338,0,4338,18660, ,74-1461883,3,254900695MEPYT475810,48,CHARTER BANK,CORPUS CHRISTI,3,0000018660, ,814458,2963556,2963556,2963556,814458,2963556,200,7,0, ,48,0,355,10,"CHARTER BANCSHARES, INC.",BHC,CHARTER BK,NMB,CHARTER BK,74-1461883,0,124,0,9,14661,"CHARTER BANCSHARES, INC.",0,282122,0,0,93,23,0,13,13,0,12098,859,124,16856,31,3230
287640,35312,2472973, ,36158,4343,0,4343,18698, ,75-1095233,3,549300JF52QHLC8BF081,48,TEXAS STATE BANK,SAN ANGELO,3,0000018698, ,748964,2472973,2472973,2472973,748964,2472973,200,7,0, ,48,0,451,10,"TEXAS BANCORP, INC.",BHC,TEXAS ST BK,NMB,TEXAS ST BK,75-1095233,0,90,0,9,10985,"TEXAS BANCORP, INC.",0,270620,0,0,67,51,0,14,14,0,9131,964,90,11391,25,1692
179550,22657,1050226, ,72984,4348,0,4348,18710, ,84-0521087,3,5493007074TOVS4FJF21,8,NORTH VALLEY BANK,THORNTON,3,0000018710, ,350750,1050226,1050226,1050226,350750,1050226,200,7,0, ,8,0,1,10,CITIZENS INVESTMENT COMPANY,BHC,NORTH VALLEY BK,NMB,NORTH VALLEY BK,84-0521087,0,101,0,10,52547,CITIZENS INVESTMENT COMPANY,0,169563,0,0,91,24,0,36,16,0,30329,9412,101,36055,41,10777
84495,10073,3436927, ,25101,4363,0,4363,18889, ,37-0817404,3,549300MGDBENMLUYMI91,17,COMMUNITY BANK OF TRENTON,TRENTON,3,0000018889, ,255547,3436927,3436927,3436927,255547,3436927,200,7,0, ,17,0,27,10,"CBT BANCORP, INC.",BHC,COMMUNITY BK OF TRENTON,NMB,COMMUNITY BK OF TRENTON,37-0817404,549300MGDBENMLUYMI91,157,0,7,52436,"CBT BANCORP, INC.",0,83419,0,0,142,116,0,1,1,0,21979,42,157,23803,2,460
2544697,2544697,0, ,141331,4377,0,4377,18983, ,94-1562490,3,549300TGUS6Y1N77GV58,6,RIVER CITY BANK,SACRAMENTO,3,0000018983, ,253468,0,0,-253468,253468, ,200,7,0, ,6,0,67,10,RIVER CITY BK,NMB,RIVER CITY BK,NMB,RIVER CITY BK,94-1562490,0,103,0,11,13753, ,0,2206367,0,0,78,69,0,13,13,0,107381,6424,103,123414,15,7346
535025,84826,1977154, ,59532,4401,0,4401,19143, ,72-0591770,3,549300O2UK5FUZXQJO34,22,UNITED COMMUNITY BANK,RACELAND,3,0000019143, ,90337,1977154,1977154,1977154,90337,1977154,200,7,10326, ,22,0,57,10,COMMUNITY BANCORP OF LOUISIANA,BHC,UNITED CMNTY BK,NMB,UNITED CMNTY BK,72-0591770,0,136,0,9,10326,COMMUNITY BANCORP OF LOUISIANA,0,540288,0,0,121,61,0,9,9,0,20631,887,136,23124,10,912
123541,11143,1097137, ,24703,4412,0,4412,19200, ,43-0405480,3,549300SVQUT5ZO95KS15,29,MERAMEC VALLEY BANK,VALLEY PARK,3,0000019200, ,215354,1097137,1097137,1097137,215354,1097137,200,7,0, ,29,0,189,10,"VALLEY BANCSHARES, INC.",BHC,MERAMEC VALLEY BK,NMB,MERAMEC VALLEY BK,43-0405480,0,36,0,8,10542,"VALLEY BANCSHARES, INC.",0,117691,0,0,27,9,0,1,1,0,7107,120,36,11573,2,1820
800874,66103,1133428, ,121255,4414,0,4414,19215,367,75-1163748,3,549300FF2P6I0N4FHD29,48,BENCHMARK BANK,PLANO,3,0000019215, ,980960,1133428,1133428,1133428,980960,1133428,200,7,0, ,48,0,85,10,"QUINLAN BANCSHARES, INC.",BHC,BENCHMARK BK,NMB,BENCHMARK BK,75-1163748,0,70,0,9,9671,"QUINLAN BANCSHARES, INC.",0,582756,0,0,54,32,0,0,0,0,41159,0,70,57728,0,0
4377727,4383428,1026801, ,1440871,4415,0,4415,19222, ,94-1569025,3,5493006F1N8E3EEF3W63,6,FREMONT BANK,FREMONT,3,0000019222, ,739560,1026801,1026801,1026801,739560,1026801,200,7,0, ,6,0,1,10,FREMONT BANCORPORATION,BHC,FREMONT BK,NMB,FREMONT BK,94-1569025,5493006F1N8E3EEF3W63,11577,0,11,9846,FREMONT BANCORPORATION,0,3947468,0,0,7909,7861,30,2052,2052,7,3012190,789672,11577,4424161,3079,1173125
2016395,232416,1201194, ,136235,4427,0,4427,19333, ,36-2533919,3,5493002Q5MB21VG7B390,17,REPUBLIC BANK OF CHICAGO,OAK BROOK,3,0000019333, ,671334,1201194,1201194,1201194,671334,1201194,200,7,12444, ,17,0,43,10,REPUBLIC BANCORP CO.,FHD,REPUBLIC BK OF CHICAGO,NMB,REPUBLIC BK OF CHICAGO,36-2533919,5493002Q5MB21VG7B390,239,0,7,12444,REPUBLIC BANCORP CO.,0,2057806,0,0,204,43,0,13,13,0,48188,2177,239,57021,23,4116
466629,56907,3035227, ,41722,4436,0,4436,19401, ,74-1501536,3,549300E2M76Y41U4FC19,48,CAPITAL BANK,JACINTO CITY,3,0000019401, ,596156,1106280,3035227,3035227,596156,1106280,200,7,0, ,48,0,201,10,JSA FAMILY LIMITED PARTNERSHIP,BHC,CAPITAL BK,NMB,CAPITAL BK,74-1501536,549300E2M76Y41U4FC19,60,0,9,17063,"CAPITAL BANCORP, INC.",0,427494,0,0,48,24,0,13,13,0,20437,1469,60,21109,21,1926
2663225,257034,1097182, ,249795,4447,0,4447,19459, ,37-0863264,3,5493000XYE7QL54NMB52,17,UNITED COMMUNITY BANK,CHATHAM,3,0000019459, ,439338,1097182,1097182,1097182,439338,1097182,200,7,0, ,17,0,167,10,"UNITED COMMUNITY BANCORP, INC.",BHC,UNITED CMNTY BK,NMB,UNITED CMNTY BK,37-0863264,5493000XYE7QL54NMB52,1941,0,7,11023,"UNITED COMMUNITY BANCORP, INC.",0,2077491,9,69073844,1655,1597,50,65,64,0,210609,9161,1932,239031,88,12555
1040288,99859,1247361, ,104789,4452,0,4452,19506, ,37-0865074,3,549300XAJENHWRM32Z86,17,BANK OF SPRINGFIELD,SPRINGFIELD,3,0000019506, ,248240,1247361,1247361,1247361,248240,1247361,200,7,0, ,17,0,167,10,"SPRING BANCORP, INC.",FHD,BANK OF SPRINGFIELD,NMB,BANK OF SPRINGFIELD,37-0865074,549300XAJENHWRM32Z86,2681,0,7,12429,"SPRING BANCORP, INC.",0,1005697,0,0,2132,2056,133,153,153,11,390043,27177,2681,504057,198,36532
186014,18344,1200665, ,47955,4457,0,4457,19540, ,42-0470700,3,254900A0ZXGBI45YZX94,19,PIONEER BANK,SERGEANT BLUFF,3,0000019540, ,300942,1200665,1200665,1200665,300942,1200665,200,7,0, ,19,0,193,10,PIONEER DEVELOPMENT COMPANY,FHD,PIONEER BK,NMB,PIONEER BK,42-0470700,254900A0ZXGBI45YZX94,76,0,8,10266,PIONEER DEVELOPMENT COMPANY,0,182842,0,0,59,26,0,0,0,0,23101,0,76,26458,1,222
1867107,212627,2128917, ,157342,4464,0,4464,19573, ,36-2583514,3,549300DUTN4RUBI81Z18,17,LAKESIDE BANK,CHICAGO,3,0000019573, ,201834,2128917,2128917,2128917,201834,2128917,200,7,0, ,17,0,31,10,"LAKESIDE BANCORP, INC.",BHC,LAKESIDE BK,NMB,LAKESIDE BK,36-2583514,549300DUTN4RUBI81Z18,181,0,7,17624,"LAKESIDE BANCORP, INC.",0,1678656,0,0,131,24,0,12,11,0,93099,3397,181,127440,22,6462
6492180,6567034,1417333, ,1028936,4465,0,4465,19581, ,45-0283315,3,549300WYBPIWKK6SQC06,38,BELL BANK,FARGO,3,0000019581, ,929352,1417333,1417333,1417333,929352,1417333,200,7,0, ,38,0,17,10,"STATE BANKSHARES, INC.",BHC,BELL BK,NMB,BELL BK,45-0283315,549300WYBPIWKK6SQC06,14815,0,8,16487,"STATE BANKSHARES, INC.",0,5394695,7,275084466,12971,12699,278,1618,1618,67,3388598,392557,14808,3878790,1911,460184
76473,8713,5217915, ,23150,4470,0,4470,19589, ,41-0905107,3,254900FKD0CVFUC78457,27,NORTHERN STATE BANK OF VIRGINI,VIRGINIA,3,0000019589, ,774253,5217915,5217915,5217915,774253,5217915,200,7,0, ,27,0,137,10,"BENIC HOLDINGS, INC.",BHC,NORTHERN ST BK OF VIRGINIA,NMB,NORTHERN ST BK OF VIRGINIA,41-0905107,254900FKD0CVFUC78457,28,0,8,15406,"BENIC HOLDINGS, INC.",0,71954,0,0,23,21,0,0,0,0,1790,0,28,2280,0,0
1064967,115008,1209716, ,175439,4472,0,4472,19608, ,39-1076859,3,YQI2CPR3Z44KAR0HG822,55,THE PARK BANK,MADISON,3,0000019608, ,403946,1209716,1209716,1209716,403946,1209716,200,7,0, ,55,0,25,10,"PARK BANCORPORATION, INC.",BHC,PARK BK,NMB,PARK BK,39-1076859,YQI2CPR3Z44KAR0HG822,679,0,7,10183,"PARK BANCORPORATION, INC.",0,973120,0,0,517,487,13,70,70,13,168379,16094,679,230913,99,23473
8724864,12112894,1104231, ,883224,4475,0,4475,19629, ,74-1541057,3,5493005GNZ6EJFS7LM83,48,INTERNATIONAL BANK OF COMMERCE,LAREDO,3,0000019629, ,1001152,1104231,1104231,1104231,1001152,1104231,200,7,0, ,48,10,479,10,INTERNATIONAL BANCSHARES CORPO,FHD,INTERNATIONAL BK OF CMRC,NMB,INTERNATIONAL BK OF CMRC,74-1541057,0,3827,0,9,10788,INTERNATIONAL BANCSHARES CORPO,0,8469038,199,90579747,2395,2362,175,757,757,123,289673,87265,3628,425067,1373,149337
255869,27977,1479144, ,147560,4487,0,4487,19681, ,55-0148620,3,549300RMW817W08PUN16,54,COMMUNITY BANK OF PARKERSBURG,PARKERSBURG,3,0000019681, ,901134,1479144,1479144,1479144,901134,1479144,200,7,9628, ,54,0,107,10,"COMMUNITY BANKSHARES, INC.",BHC,COMMUNITY BK OF PARKERSBURG,NMB,COMMUNITY BK OF PARKERSBURG,55-0148620,549300RMW817W08PUN16,282,0,3,9628,"COMMUNITY BANKSHARES, INC.",0,244555,0,0,236,221,0,5,5,0,29491,435,282,35144,7,495
99430,16073,1139756, ,12533,4489,0,4489,19687, ,48-0726234,3,5493001YU4TTE8QEL245,20,GARDEN PLAIN STATE BANK,WICHITA,3,0000019687, ,987651,1139756,1139756,1139756,987651,1139756,200,7,0, ,20,0,173,10,"GARDEN PLAIN BANCSHARES, INC.",BHC,GARDEN PLAIN ST BK,NMB,GARDEN PLAIN ST BK,48-0726234,5493001YU4TTE8QEL245,118,0,10,13038,"GARDEN PLAIN BANCSHARES, INC.",0,96210,0,0,94,87,0,7,5,0,18122,657,118,22198,8,683
237567,29832,2490520, ,32280,4490,0,4490,19700, ,74-1559329,3,254900EY91VUW4KYE555,48,VALUEBANK TEXAS,CORPUS CHRISTI,3,0000019700, ,964157,2490520,2490520,2490520,964157,2490520,200,7,0, ,48,0,355,10,FIRST INTERNATIONAL BANCSHARES,BHC,VALUEBANK TX,NMB,VALUEBANK TX,74-1559329,254900EY91VUW4KYE555,45,0,9,16823,FIRST INTERNATIONAL BANCSHARES,0,242173,0,0,34,14,0,4,4,0,11126,347,45,16516,8,831
138624,18541,3010288, ,31167,4496,0,4496,19744, ,72-0643580,3,549300B8JQ9XD5FQQH32,22,CITIZENS BANK & TRUST COMPANY,VIVIAN,3,0000019744, ,767554,3010288,3010288,3010288,767554,3010288,200,7,0, ,22,0,17,10,"C B & T BANCSHARES, INC.",BHC,CITIZENS B&TC VIVIAN LA,NMB,CITIZENS B&TC VIVIAN LA,72-0643580,549300B8JQ9XD5FQQH32,355,0,9,10821,"C B & T BANCSHARES, INC.",0,136217,0,0,307,286,0,63,63,0,45149,9587,355,50460,78,10972
140565,20176,1082236, ,57000,4499,0,4499,19755, ,72-0643664,3,549300SHK8JZR89HEF81,22,SOUTH LAFOURCHE BANK & TRUST C,LAROSE,3,0000019755, ,135836,1082236,1082236,1082236,135836,1082236,200,7,17627, ,22,0,57,10,"LAFOURCHE BANCSHARES, INC.",BHC,SOUTH LAFOURCHE B&TC,NMB,SOUTH LAFOURCHE B&TC,72-0643664,0,124,0,9,17627,"LAFOURCHE BANCSHARES, INC.",0,145361,0,0,82,67,0,5,5,0,9636,454,124,13651,10,812
1399926,135649,1209426, ,111804,4506,0,4506,19772, ,39-1088977,3,549300TV5ZED3EINI708,55,INCREDIBLEBANK,WAUSAU,3,0000019772, ,163549,1209426,1209426,1209426,163549,1209426,200,7,0, ,55,0,73,10,"RIVER VALLEY BANCORPORATION, I",BHC,INCREDIBLEBANK,NMB,INCREDIBLEBANK,39-1088977,549300TV5ZED3EINI708,1445,0,7,12705,"RIVER VALLEY BANCORPORATION, I",0,1357316,1,268255671,937,898,21,28,28,0,167083,4819,1444,257565,58,9547
549882,48495,3612794, ,81659,4508,0,4508,19795, ,39-1087461,3,549300ZAI389CEN8VG51,55,ABBYBANK,ABBOTSFORD,3,0000019795, ,198149,3612794,3612794,3612794,198149,3612794,200,7,0, ,55,0,73,10,"ABBY BANCORP, INC.",BHC,ABBYBANK,NMB,ABBYBANK,39-1087461,549300ZAI389CEN8VG51,543,0,7,16035,"ABBY BANCORP, INC.",0,508065,0,0,338,312,0,22,22,0,58964,2013,543,95356,41,3399
737952,84170,1061736, ,240906,4516,0,4516,19850, ,47-0523112,3,549300QLO8TSQW5JTK72,31,WEST GATE BANK,LINCOLN,3,0000019850, ,207050,1061736,1061736,1061736,207050,1061736,200,7,0, ,31,0,109,10,"WEST GATE BANSHARES, INC.",BHC,WEST GATE BK,NMB,WEST GATE BK,47-0523112,549300QLO8TSQW5JTK72,5001,0,10,13851,"WEST GATE BANSHARES, INC.",0,611001,1415,264555148,3145,3078,87,182,182,5,677367,34393,3586,766072,218,41140
5476098,5492424,1111088, ,398089,4533,0,4533,19943, ,04-6202762,3,549300NFO21T5DF35226,25,CENTURY BANK AND TRUST COMPANY,SOMERVILLE,3,0000019943, ,377908,1111088,1111088,1111088,377908,1111088,200,7,0, ,25,0,17,10,"CENTURY BANCORP, INC.",BHC,CENTURY B&TC,NMB,CENTURY B&TC,04-6202762,549300NFO21T5DF35226,1885,0,1,12351,"CENTURY BANCORP, INC.",0,5146944,0,0,1212,1196,0,196,196,0,302109,53303,1885,440892,385,96917
6706430,6712128,1404799, ,624240,4535,0,4535,19953, ,22-1867508,3,549300ZJ3ZL66QGSGO48,34,LAKELAND BANK,NEWFOUNDLAND,3,0000019953, ,687009,1404799,1404799,1404799,687009,1404799,200,7,0, ,34,0,31,10,"LAKELAND BANCORP, INC.",FHD,LAKELAND BK,NMB,LAKELAND BK, ,549300ZJ3ZL66QGSGO48,2351,0,2,17331,"LAKELAND BANCORP, INC.",0,5796870,4,285039608,1426,1288,1,157,157,0,452901,28534,2347,644635,328,57006
274098,24751,2022734, ,18117,4556,0,4556,20040, ,36-2664246,3,549300QWUZ3ZGKKC7W73,17,MERCHANTS AND MANUFACTURERS BA,JOLIET,3,0000020040, ,1008432,2022734,2022734,2022734,1008432,2022734,200,7,15386, ,17,0,197,10,MERCHANTS AND MANUFACTURERS BA,BHC,MERCHANTS & MANUFACTURERS BK,NMB,MERCHANTS & MANUFACTURERS BK,36-2664246,549300QWUZ3ZGKKC7W73,17,0,7,15386,MERCHANTS AND MANUFACTURERS BA,0,264484,0,0,17,6,0,0,0,0,12833,0,17,12833,0,0
467458,467458,0, ,77516,4566,0,4566,20093, ,73-0785513,3,5493005MFZ2ASTT3WX73,40,ALL AMERICA BANK,OKLAHOMA CITY,3,0000020093, ,25357,0,0,-25357,25357, ,200,7,0, ,40,0,109,10,ALL AMER BK,NMB,ALL AMER BK,NMB,ALL AMER BK, ,0,188,0,10,16002, ,0,438494,0,0,156,72,0,15,15,0,15999,702,188,19381,22,983
